filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Fleutiaux_Allons	Fleutiaux_Allons	Fleutieaux, Pierrette	F	Allons-nous être heureux?	blanche	1994	nan	1994	1994
StevensA_Nuit	StevensA_Nuit	Stevens, Amanda	F	La septième nuit	sentimental	1994	nan	1994	1994
Rolin_Cyrille	Rolin_Cyrille	Rolin, Jean	M	Cyrille et méthode	blanche	1994	nan	1994	1994
Cassidy_Nuits	Cassidy_Nuits	Cassidy, Carla	F	Les nuits du marécage	sentimental	1994	nan	1994	1994
Flanders_Vertigo	Flanders_Vertigo	Flanders, Rebecca	F	Vertigo	sentimental	1994	nan	1994	1994
Leiris_Ruban	Leiris_Ruban	Leiris, Michel	M	Le ruban au cou d'Olympia	blanche	1994	nan	1994	1994
Sarraute_Portrait	Sarraute_Portrait	Sarraute, Nathalie	F	Portrait d'un inconnu	blanche	1995	nan	1995	1995
LeBussy_Rork	LeBussy_Rork	Le Bussy, Alain	M	Rork des plaines	tbc	1995	NA	1995	1995
Padgett_Enfant	Padgett_Enfant	Padgett, Abigail	F	L'Enfant du silence	policier	1995	nan	1995	1995
Shayne_Allies	Shayne_Allies	Shayne, Maggie	F	Les alliés de l'ombre	sentimental	1995	nan	1995	1995
Gerritsen_Appat	Gerritsen_Appat	Gerritsen, Tess	F	L'appât	policier	1995	nan	1995	1995
Kassak_Peur	Kassak_Peur	Kassak, Fred	M	Qui a peur d'Ed Garpo?	policier	1995	nan	1995	1995
Dessaint_Vie	Dessaint_Vie	Dessaint, Pascal	M	La vie n'est pas une punition	policier	1995	nan	1995	1995
Nathan_Dieu	Nathan_Dieu	Nathan, Tobie	M	Dieu-Dope	policier	1995	1995	1997	1997
Djian_Sotos	Djian_Sotos	Djian, Philippe	M	Sotos	blanche	1995	nan	1995	1995
Pouy_Petite	Pouy_Petite	Pouy, Jean-Bernard	M	Le Petite Écuyère a cafté	policier	1995	1995	nan	NA
Izzo_Chourmo	Izzo_Chourmo	Izzo, Jean-Claude	M	Chourmo	policier	1996	1996	nan	NA
LeBussy_Djamol	LeBussy_Djamol	Le Bussy, Alain	M	Djamol de Kîv	tbc	1996	NA	1996	1996
Jardin_Fanfan	Jardin_Fanfan	Jardin, Alexandre	M	Fanfan	blanche	1996	nan	1996	1996
Nothomb_Peplum	Nothomb_Peplum	Nothomb, Amélie	F	Peplum	blanche	1996	1996	nan	NA
Belfiore_Maitre	Belfiore_Maitre	Belfiore, Robert	M	Le maître de Juvenfa	tbc	1996	NA	1996	1996
Wagner_Ravisseurs	Wagner_Ravisseurs	Wagner, Roland C.	M	Les ravisseurs quantiques	tbc	1996	NA	1996	1996
Beeding_Diner	Beeding_Diner	Beeding, Francis	F	Un dîner d'anniversaire	policier	1996	nan	1996	1996
Wagner_Balle	Wagner_Balle	Wagner, Roland C.	M	La Balle du néant : suivi de Les ravisseurs quantiques (Les futurs mystères de Paris)	tbc	1996	NA	1996	1996
MartinigolGrousset_Enfant	MartinigolGrousset_Enfant	Martinigol, Danielle / Grousset, Alain	M	L'Enfant-mémoire	tbc	1996	NA	1996	1996
Modiano_Loin	Modiano_Loin	Modiano, Patrick	M	Du Plus Loin de l'Oubli	blanche	1996	1996	nan	NA
Lemaire_Peur	Lemaire_Peur	Lemaire, Jean-Francois	M	Peur sur l'asile	policier	1996	nan	1996	1996
Pennac_Chretiens	Pennac_Chretiens	Pennac, Daniel	M	Malaussene 5 Chretiens Maures	policier	1996	1996	nan	NA
Flanders_Nuit	Flanders_Nuit	Flanders, Rebecca	F	Nuit de pleine lune	sentimental	1996	nan	1996	1996
Pace_Mystere	Pace_Mystere	Pace, Laurel	M	Le mystère Borodine	policier	1996	nan	1996	1996
Vargas_Cercles	Vargas_Cercles	Vargas, Fred	F	L'Homme aux Cercles Bleus	policier	1996	1996	nan	NA
Manchette_Princesse	Manchette_Princesse	Manchette, Jean-Patrick	M	La Princesse de Sang	policier	1996	1996	nan	NA
Card_Enfants	Card_Enfants	Card, Orson Scott	M	Les enfants de l'esprit	tbc	1996	1996	2000	2000
Vila_Iceflyer	Vila_Iceflyer	Vilà, Christian	M	Iceflyer	tbc	1997	NA	1997	1997
Genefort_Sang	Genefort_Sang	Genefort, Laurent	M	Le sang des immortels	tbc	1997	NA	1997	1997
Ranne_Chute	Ranne_Chute	Ranne, G. Elton	M	Chute libre	tbc	1997	NA	1997	1997
Eustis_Homme	Eustis_Homme	Eustis, Helen	F	L'homme horizontal	policier	1997	nan	1997	1997
Renford_Plus	Renford_Plus	Renford, Philippe 	M	Plus proche que vous ne pensez	tbc	1997	NA	1997	1997
Rambaud_Bataille	Rambaud_Bataille	Rambaud, Patrick	M	La bataille	blanche	1997	nan	1997	1997
Toussaint_Television	Toussaint_Television	Toussaint, Jean-Philippe	M	Television	blanche	1997	1997	nan	NA
Fasquelle_Chant	Fasquelle_Chant	Fasquelle, Solange	F	Le chant des hérissons	blanche	1997	nan	1997	1997
Pender_Mortelle	Pender_Mortelle	Pender, Laura	F	Mortelle ressemblance	policier	1997	nan	1997	1997
ClarinardOlliver_Ombre	ClarinardOlliver_Ombre	Ollivier Mikael / Clarinard, Raymond	M	L'ombre de Mars 	tbc	1997	NA	1997	1997
Blanchot_Thomas	Blanchot_Thomas	Blanchot, Maurice	M	Thomas l'Obscur	blanche	1997	nan	1997	1997
